label,data
0,hello darlin have finish college now so txt when u finish if u can love kate xxx
0,account have be refill successfully by inr ltdecimalgt keralacircle prepay account balance be r ltdecimalgt transaction id be kr ltgt
0,goodmorne sleeping ga
0,u call alter at 11 ok
0,  say until like dat i dun buy ericsson oso can not oredi lar
0,aight yo dat straight dogg
0,please give connection today before ltdecimalgt or refund the bill
0,both i shoot big load so get ready
0,what s up bruv hope have a great break do have a rewarding semester
0,home so can always chat
0,kkgoodstudy well
0,yup how _ noe leh
0,sound great be home now
0,finally the match head towards draw as prediction
0,tired have not sleep well the past few night
0,easy ahsen get select mean good
0,have to take exam with march 3
0,yeah should think can use gt atm now to register not sure but if there s anyway i can help let know but when do be sure be ready
0,ok no prob take ur time
0,there be os call ubandu which will run without instal in hard diskyou can use that os to copy the important file in system and give to repair shop
0,u say leh of course nothing happen lar not say v romantic jus a bit only lor thk e nite scenery not so nice leh
1,500 new mobiles from 2004 must go txt nokia to no 89545 collect todayfrom only 1 www4tcbiz 2optout 08718726270150gbpmtmsg18
0,would really appreciate if call just need someone to talk to
1,will u meet ur dream partner soon be ur career off 2 a flyng start 2 find out free txt horo follow by ur star sign e g horo aries
0,hey company elama po mudyadhu
0,life be more strict than teacher bcoz teacher teach lesson amp then conduct exam but life first conduct exam amp then teach lessons happy morning
0,dear good morning now only i be up
0,get down in gandhipuram and walk to cross cut road right side ltgt street road and turn at first right
0,dear be go to rubber place
0,sorry battery die yeah be here
0,yeshere tv be always available in work place
1,text meet someone sexy today u can find a date or even flirt up to u join 4 just 10p reply with name age eg sam 25 18 msg recdthirtyeight penny
0,have print oh so ltgt come upstairs
0,or ill be a little close like at the bus stop on the same street
0,where be youwhen wil reach here
0,new theory argument win d situation but lose the person so do not argue with ur friend just kick amp say be always correct
1,u 447801259231 have a secret admirer who be look 2 make contact with ufind out who rreveal who think ur so specialcall on 09058094597
0,tomarrow final hearing on laptop case so i can not
0,pleassssssseeeeee tel me v avent done sportsx
0,okay no no just shine on that be mean to be sign but that sound well
0,although i tell u dat be into baig face watch now but i really like e watch u give cos fr u thanx 4 everything dat uve do today be touch
0,u do not remember that old commercial
0,too late say i have the website do not i have or do not have the slipper
0,ask to call now ok
0,kallis will not bat in 2nd inning
0,do not work again oh ok goodnight then ill fix and have ready by the time wake up be very dearly miss have a good night sleep
1,congratulation ur award 500 of cd voucher or 125gift guarantee free entry 2 100 wkly draw txt music to 87066 tncs wwwldewcom1win150ppmx3age16
0,ranjith cal drpd deeraj and deepak 5min hold
0,wen ur lovable bcum angry wid u dnt take seriously coz be angry be d most childish n true way of show deep affection care n luv kettoda manda have nice day da
0,what doinghow be
0,ups which be 3days also and the shipping company that take 2wks the other way be usps which take a week but when get to lag may have to bribe nipost to get stuff
0,be back lemme know when be ready
0,do not necessarily expect to be do before get back though because be just now headin out
0,mmm so yummy babe nice jolt to the suzy
0,where be lover need
1,try to contact re reply to offer of a video handset 750 anytime network min unlimited text camcorder reply or call 08000930705 now
0,be park next to a mini when be come in today do think
0,yup
0,anyway be go shopping on own now cos sis not do yet dun disturb u liao
0,my no in luton 0125698789 ring me if ur around h
1,hey be really horny want to chat or see naked text hot to 69698 text charge at 150pm to unsubscribe text stop 69698
0,why dint come with
0,same wana plan a trip sometme then
0,not sure yet still try to get a hold of
1,ur ringtone service have change 25 free credit go to club4mobilescom to choose content now stop txt club stop to 87070 150pwk club4 po box1146 mk45 2wt
0,the evo just have to download flash jealous
1,ringtone club get the uk single chart on mobile each week and choose any top quality ringtone this message be free of charge
0,come to mu be sort out narcotic situation
0,night have end for another day morning have come in a special way may smile like the sunny ray and leave worry at the blue blue bay
1,hmv bonus special 500 pound of genuine hmv voucher to be win just answer 4 easy question play now send hmv to 86688 more infowww100percentrealcom
0,usf guess may as well take 1 car
0,no objection bf not come
0,thanx
0,tell rob to mack gf in the theater
0,awesome ill see in a bit
0,just send so what type of food do like
0,all do all hand in celebration in full swing yet
0,get call a tool
0,\wen u miss someone
0,ok ask for money how far
0,okie
0,yeah think usual guy still pass out from last night if get ahold of anybody let know and ill throw down
0,k may come by tonight then if class let out early
0,ok
0,hi baby be cruisin with girl friend what r u up 2 give a call in and hour at home if that s alright or fone on this fone now love jenny xxx
0,life mean a lot to not because love life but because love the people in life the world call friend call world ge
0,dearshall mail tonitebusy in the streetshall update tonitething be look okvarunnathu edukkukayee raksha ollubut a good one in real sense
0,hey tell name to gautham ah
0,haf u find feel so stupid da v cam be work
0,oops 4 get that bit
0,be this much buzy
0,accidentally delete the message resend please
1,tmobile customer may now claim free camera phone upgrade a pay go sim card for loyalty call on 0845 021 3680offer end 28thfebtcs apply
0,unless a situation where you go gurl would be more appropriate
0,hurt tease make cry but in the end of life when i die plz keep one rise on grave and say stupid miss u have a nice day bslvyl
0,can not pick the phone right now pls send a message
0,need a coffee run tomocant believe that time of week already
0,awesome remember the last time get somebody high for the first time with diesel v
0,shit that be really shocking and scary can not imagine for a second def up for night out do u think there be somewhere i could crash for night save on taxi
0,oh and by the way do have more food in fridge want to go out for a meal tonight
0,be a womdarfull actor
1,sms ac blind date 4u rodds1 be 21 m from aberdeen united kingdom check out httpimg sms acwicmb3cktz8r74 no blind dates send hide
0,yup from what i remb think should be can book
0,jos ask if u wana meet up
0,lol yes friendship be hang on a thread cause u will not buy stuff
1,themob check out new selection of content games tones gossip babe and sport keep mobile fit and funky text wap to 82468
0,where be the garage key be not on the bookshelf
0,today be accept dayu accept as brother sister lover dear1 best1 clos1 lvblefrnd jstfrnd cutefrnd lifpartnr belovd swtheart bstfrnd no rply mean enemy
1,think ur smart win 200 this week in weekly quiz text play to 85222 nowtcs winnersclub po box 84 m26 3uz 16 gbp150week
0,say hell give a call when friend get the money but that s definitely buying before the end of the week
0,hi the way be with u 2day be the normal waythis be the real ur uniquei hope know u 4 the rest of mylife hope u find wot be lose
0,make day do have a great day too
0,kkadvance happy pongal
0,hmmm guess can go 4 kb n power yoga haha dunno can tahan power yoga anot thk get lo oso forgot liao
0,not really dude have no friend be afraid
1,december only have mobile 11mth be entitle to update to the late colour camera mobile for free call the mobile update co free on 08002986906
0,coffee cake i guess
0,merry christmas to too babe i love ya kiss
0,hey why do not just go watch x man and have lunch haha
0,cud u tell ppl be gona b a bit l8 cos 2 bus hav gon past cos be full be still waitin 4 1 pete x
0,that would be great well be at the guild could meet on bristol road or somewhere will get in touch over weekend plan take flight have a good week
0,no problem how be do
0,hi dahow be the today class
0,d say that s a good sign but well know track record at read woman
0,cool text when be park
0,be read the text i just send mean to be a joke so read in that light
0,kkapo kgood movie
0,maybe i could get book out tomo then return immediately or something
1,call germany for only 1 pence per minute call from a fix line via access number 0844 861 85 85 no prepayment direct access
0,any chance may have have with evaporate as soon as violate privacy by steal phone number from employer paperwork not cool at all please do not contact again or will report to supervisor
1,valentines day special win over 1000 in quiz and take partner on the trip of a lifetime send go to 83600 now 150pmsg rcvd custcare08718720201
0,tadaaaaa be home babe be still up
0,cool so how come have not be wine and dine before
0,just sleepingand surf
0,u call right call hand phone
0,ok that s great thanx a lot
0,take the post have come then must have 1000 of text now happy read one from wiv hello caroline at the end be favourite bless
0,where u be hide strange
0,be not interested to do like that
0,sister clear two round in birla soft yesterday
0,gudnitetcpractice go on
0,dis be yijue jus see ur mail in case huiming have not send u num dis be num
0,one small prestige problem now
1,fancy a shag dointereste sextextukcom txt xxuk suzy to 69876 txts cost 150 per msg tncs on website x
0,just check in on really do miss see jeremiah do have a great month
0,nah can not help there have never have an iphone
0,if be not in car in an hour and a half be go apeshit
0,today be sorry day if ever i be angry with if ever i misbehave or hurt plz plz just slap urself bcoz ur fault be basically good
0,yo guy ever figure out how much need for alcohol jay and be try to figure out how much can safely spend on weed
0,ltgt ish minutes be 5 minute ago wtf
0,thank for callingforgot to say happy onam to sirjii be fine here and remember when i meet an insurance personmeet in qatar insha allahrakhesh ex tata aig who join tisscotayseer
1,ur cashbalance be currently 500 pound to maximize ur cashin now send cash to 86688 only 150pmsg cc 08708800282 hgsuite3422land roww1j6hl
0,be an actor when i work i work in the evening and sleep late since be unemployed at the moment i always sleep late when be unemployed every day be saturday
0,hello just get here st andrewsboy a long way cold will keep post
0,ha ha cool cool chikku chikkudb
0,oh ok no prob
0,check audrey status right now
0,busy here try to finish for new year be look forward to finally meet
0,good afternoon sunshine how dawn that day be refresh and happy to be alive do breathe in the air and smile think of love as always
0,well i know z will take care of so no worry
1,update_now xmas offer latest motorola sonyericsson nokia free bluetooth double mins 1000 txt on orange call mobileupd8 on 08000839402 or call2optoutf4q
1,here be discount code rp176781 to stop further message reply stop wwwregalportfoliocouk customer services 08717205546
0,wat uniform in where get
0,cool text when be ready
0,hello boytoy geeee miss already and just wake up wish be here in bed with cuddle love
0,will spoil in bed as well
0,be go for bath will msg next ltgt min
0,can not keep talk to people if be not sure i can pay if agree to price so pls tell what want to really buy and how much be willing to pay
1,thank for ringtone order reference t91 will be charge gbp 4 per week can unsubscribe at anytime by call customer service on 09057039994
0,can say what happen
0,could have see mei didt recognise face
0,well there s not a lot of thing happen in lindsay on new year sigh some bar in ptbo and the blue heron have something go
0,keep payasam there if rinu bring
0,teach that ranjith sir call so only i sms like that becaus s verify about project prabu tell today so only pa do not mistake
0,guess that s why re worried must know that there s a way the body repair and be quite sure should not worry well take slow first the test will guide when ovulation be then just relax nothing have say be a reason to worry but ill keep on followin up
0,yeah sure give a couple minute to track down wallet
0,hey leave not a big deal take care
0,hey i will be late ah meet at 945
1,double min and txt 4 6months free bluetooth on orange available on sony nokia motorola phone call mobileupd8 on 08000839402 or call2optoutn9dx
0,take mr owl 3 lick
0,customer place i will call
0,mm that time do not like fun
1,4mths half price orange line rental late camera phone 4 free have phone 11mth call mobilesdirect free on 08000938767 to update now or2stoptxt
0,yup have lunch buffet now u eat already
0,huh so late fr dinner
0,hey so this sat be go for the intro pilate only or the kickboxing too
0,morning only i can ok
0,yes i think so be in office but lap be in room i think that s on for the last few day do not shut that down
0,pick up bout 730ish what time be and that go
0,from here after the performance award be calculate every two monthnot for current one month period
0,be actually sleep and still may when u call back so a text be gr8 rock sis will send u a text wen i wake
0,be always put business out there put picture of ass on facebook be one of the most open people have ever meet why would i think a picture of room would hurt make feel violated
0,good evening sir al salam wahleykkumsharing a happy newsby the grace of god i get an offer from tayseertissco and i joinedhope be fineinshah allahmeet sometimerakheshvisitor from india
0,hmmmkbut i want to change the field quickly dai wanna get system administrator or network administrator
1,free ringtone text first to 87131 for a poly or text get to 87131 for a true tone help 0845 2814032 16 after 1st free tone be 3x150pw to end txt stop
0,dear how be chechi do talk to
0,the hair cream have not be ship
0,none of that s happen til get here though
0,yep the great loxahatchee xmas tree burning of ltgt start in an hour
0,haha get used to drive to usf man know a lot of stoner
0,all be well until slightly disastrous class this pm with fav darling hope day off ok coffee wld be good as can not stay late tomorrow same time place as always
0,hello good week fancy a drink or something later
0,headin towards busetop
0,messagesome text miss sendername miss number miss sentdate miss miss u a lot that s y everything be miss send via fullonsmscom
0,come by room at some point so can iron out the plan for this weekend
0,cos i want to be thing
0,okies ill go yan jiu too can skip ard oso go cine den go mrt one blah blah blah
0,bring home some wendy d
1,100 date service call 09064012103 box334sk38ch
0,whatsup there do not u want to sleep
0,alright i have a new goal now
1,free entry into 250 weekly competition just text the word win to 80086 now 18 tc wwwtxttowincouk
0,alright ill head out in a few minute text where to meet
1,send a logo 2 ur lover 2 name join by a heart txt love name1 name2 mobno eg love adam eve 07123456789 to 87077 yahoo pobox36504w45wq txtno 4 no ad 150p
0,yesfrom last week be take live call
1,someone have contact date service and enter phone because fancy to find out who be call from a landline 09111032124 pobox12n146tf150p
0,siva be in hostel aha
1,urgent mobile number have be award with a 2000 prize guaranteed call 09058094455 from land line claim 3030 valid 12hrs only
0,send this to ur friend and receive something about ur voice how be speak expression 1childish 2naughty 3sentiment 4rowdy 5ful of attitude 6romantic 7shy 8attractive 9funny ltgt irritate ltgt lovable reply
0,ok shell be ok guess
0,aathiwhere be dear
0,any pain on urination any thing else
0,7 at esplanade do _ mind give a lift cos i get no car today
0,wnt to buy a bmw car urgentlyit vry urgentbut hv a shortage of ltgt lacsthere be no source to arng dis amt ltgt lacsthat prob
0,at home watch tv lor
0,do usually take fifteen fucking minute to respond to a yes or no question
1,congrats nokia 3650 video camera phone be call 09066382422 call cost 150ppm ave call 3min vary from mobile 16 close 300603 post bcm4284 ldn wc1n3xx
0,book ticket for pongal
0,available now be like right around hillsborough amp ltgt th
0,the message send be askin for ltgt dollar shoul i pay ltgt or ltgt
0,ask g or iouri have tell the story like ten time already
0,how long do applebee fuck take
0,hi hope u get this txtjourney have not be gdnow about 50 min late think
0,but i have to like to have love and arrange
0,yeshe be really greatbhaji tell kallis good cricketer after sachin in worldvery tough to get out
0,be suppose to wake me up gt
0,oic see too but i tot din c find a group liao
0,\hey hey werethe monkeespeople say we monkeyaround howdy gorgeous
0,sorry battery die can come by but be only get a gram for now where s place
0,well do blimey exercise yeah i kinda remember wot that be hmm
0,will not get concentration dear know be mind and everything
0,lol have make plan for new year
0,10 min later k
0,hank lotsly
0,thank for this hope have a good day today
0,kkwhat be detail want to transferacc no enough
0,ok i will tell to stay out yeah be tough but be optimistic thing will improve this month
1,loan for any purpose 500 75000 homeowners tenant welcome have be previously refuse can still help call free 0800 1956669 or text back help
0,si si think ill go make those oreo truffle
0,look at amy ure a beautiful intelligent woman and like u a lot know u dont like me like that so dont worry
0,hope that s the result of be consistently intelligent and kind start ask about practicum link and keep ear open and all the good ttyl
0,120 that call cost which i guess be not bad miss ya need ya want ya love ya
0,go thru a very different feelingwavering decision and cope up with the same be the same individualtime will heal everything i believe
0,where do u go phone be go to die have to stay in here
0,great never been well each day give even more reason to thank god
1,upgrdcentre orange customer may now claim free camera phone upgrade for loyalty call now on 0207 153 9153 offer end 26th july tc apply optout available
0,sorry ill call later ok bye
0,ok i be on the way to railway
0,great princess love give and receive oral doggy style be fave position how about enjoy make love ltgt time per night
0,do not put that stuff on the road to keep from get slippery over there
0,when be go to ride bike
0,yup no need ill jus wait 4 e rain 2 stop
0,there be many company tell the language
1,okmail dear dave this be final notice to collect 4 tenerife holiday or 5000 cash award call 09061743806 from landline tcs sae box326 cw25wx 150ppm
0,how long have be since scream princess
0,nothing mean that once the money enter account here the bank will remove flat rate someone transfer ltgt to account and ltgt dollar get remove so the bank differ and charge also differbe sure trust the 9ja person be send account detail to cos
1,want 2 get lay tonight want real dogging location send direct 2 ur mob join the uk large dogging network by txte moan to 69888nyt ec2a 31pmsg150p
0,nice line say by a broken heart plz do not cum 1 more time infront of other wise once again will trust u good 9 t
0,ok be go to head up to usf in like fifteen minute
0,love aathilove u lot
0,tension ahwhat machiany problem
0,k can pick up another 8th when be do
0,when be guy get back g say be think about not stay for mcr
0,almost there see u in a sec
0,yo carlos a few friend be already ask about work at all this weekend
0,watch tv lor
0,thank baby can not wait to taste the real thing
0,should change fb to jaykwon thuglyfe falconerf
0,if win really no 1 side for long time
1,free message activate 500 free text message by reply to this message with the word free for term condition visit www07781482378com
0,dear reach railway what happen to
0,depend on quality if want the type i send boye fade glory then about 6 if want ralph maybe 2
0,think have fix can send a test message
0,sorry man account dry or would if want could trade back half or could buy some shit with credit card
1,congrat 1 year special cinema pass for 2 be call 09061209465 now c suprman v matrix3 starwars3 etc all 4 free bx420ip45we 150pm do not miss out
0,sorryin meeting ill call later
0,what class of ltgt reunion
0,be free nowcan i call now
0,get meh when
0,nope think i will go for on monday sorry i reply so late
0,some of tell accenture be not confirm be true
0,kate jackson rec center before 7ish right
0,dear i have reache room
0,fight with the world be easy u either win or lose bt fightng with some1 who be close to u be dificult if u lose u lose if u win u still lose
0,when can _ come out
0,check with nuerologist
0,lolnice go from a fish to water
1,123 congratulation in this week competition draw u have win the 1450 prize to claim just call 09050002311 b4280703 tcsstop sms 08718727868 over 18 only 150ppm
0,no waiting in e car dat bore wat cos wait outside get nothing 2 do at home can do stuff or watch tv wat
0,maybe westshore or hyde park village the place near house
0,should know now so how s anthony be bring money have school fee to pay and rent and stuff like that that s why i need help a friend in need
0,what s the significance
0,opinion about 1 over 2 jada 3 kusruthi 4 lovable 5 silent 6 spl character 7 not mature 8 stylish 9 simple pls reply
0,8 at the late gs still there if can scrounge up some ammo and want to give the new ak a try
0,prabhaim sorydarealyfrm heart be sory
0,lol ok forgive
0,nojst change tat only
1,be guarantee the late nokia phone a 40 gb ipod mp3 player or a 500 prize txt word collect to no 83355 ibhltd ldnw15h 150pmtmsgrcvd18
0,sno competition for
1,boltblue tone for 150p reply poly or mono eg poly3 1 cha cha slide 2 yeah 3 slow jamz 6 toxic 8 come with or stop 4 more tone txt more
